Location,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Existing Units,Mixed Use,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
17 BOARDMAN ST,76-101,76,101,2502,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3670680987999, -71.0963879627)"
13 BOARDMAN ST,76-102,76,102,3907,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3669517280999, -71.0964315803)"
9 BOARDMAN ST,76-103,76,103,2670,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3668425664, -71.0964841615)"
2 BOARDMAN PL,76-104,76,104,2932,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3669598136999, -71.0961575026999)"
4 BOARDMAN PL,76-105,76,105,3842,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3668069932, -71.0962388684999)"
253 BROADWAY,76-11,76,11,6460,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3675877693, -71.0958959911999)"
216 WINDSOR ST,76-113,76,113,1767,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3665184723, -71.0954427671999)"
185 HARVARD ST,76-114,76,114,2796,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3668601298999, -71.0969412501)"
261 BROADWAY,76-116,76,116,59639,112,Residential,>8-UNIT-APT,32, , , , , ,"(42.3681490211999, -71.0969203367999)"
189 HARVARD ST,76-117,76,117,2075,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3669739187999, -71.0971678581999)"
187 HARVARD ST,76-118,76,118,2705,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3669401541, -71.0970624459999)"
191 HARVARD ST,76-119,76,119,5205,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.367035064, -71.0973184692)"
174 COLUMBIA ST,76-120,76,120,5336,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3673843500999, -71.0973156414)"
164 COLUMBIA ST,76-121,76,121,5340,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3672709625, -71.0974051548)"
162 COLUMBIA ST,76-123,76,123,2388,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3671878091999, -71.0975112681)"
218 WINDSOR ST,76-124,76,124,1934,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3665519987999, -71.0952688081)"
220 WINDSOR ST,76-125,76,125,1340,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3666183503, -71.0954350328999)"
183 HARVARD ST,76-126,76,126,9062,112,Residential,>8-UNIT-APT,15, , , , , ,"(42.3666831984999, -71.0964796466)"
255 BROADWAY,76-127,76,127,2635,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3676022041, -71.096135293)"
253.5 BROADWAY,76-128,76,128,3595,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3677032459, -71.0960136826)"
222 COLUMBIA ST,76-129,76,129,1563,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3686027564, -71.0967218952)"
257 BROADWAY,76-13,76,13,7272,111,Residential,4-8-UNIT-APT,7, , , , , ,"(42.3677427933, -71.0962375642999)"
8 BOARDMAN ST,76-130,76,130,14896,112,Residential,>8-UNIT-APT,18, , , , , ,"(42.3672246323, -71.0971132744)"
236 BROADWAY,76-131,76,131,2665,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3666991399, -71.0948758728)"
236 BROADWAY,76-132,76,132,1435,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3665781448999, -71.0949677001)"
24 BOARDMAN ST,76-133,76,133,11491,920,Public Open Space,Parklands,0, , , , ,City NonTax,"(42.3673573748, -71.0967636976999)"
40 DICKINSON ST,76-135,135,122,74477,920,Public Open Space,Parklands,0, , , , ,City NonTax,"(42.3660767264999, -71.0946696479)"
218 COLUMBIA ST,76-18,76,18,3228,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3685160507999, -71.0967673848)"
254 WINDSOR ST,76-19,76,19,6947,112,Residential,>8-UNIT-APT,9, , , , , ,"(42.3674151717, -71.0950622489999)"
20 MARKET ST,76-20,76,20,2561,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3673036985999, -71.0948808345)"
18 MARKET ST,76-21,76,21,2382,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3672317982999, -71.0947596139999)"
16 MARKET ST,76-22,76,22,2403,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3671550002, -71.0946318407)"
14 MARKET ST,76-23,76,23,2244,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3670701878999, -71.0944933054999)"
225 BROADWAY,76-24,76,24,7126,112,Residential,>8-UNIT-APT,16, , , , , ,"(42.3669030758999, -71.0943304748)"
227 BROADWAY,76-25,76,25,2244,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3669686734, -71.0945928987)"
229 BROADWAY,76-26,76,26,2400,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3670372994, -71.0947431201)"
231-237 BROADWAY,76-27,76,27,5065,111,Residential,4-8-UNIT-APT,8, , , ,YES, ,"(42.3671336391999, -71.0949535566)"
242 WINDSOR ST,76-28,76,28,3700,106,Transportation,RES-LAND-IMP,0, , , , , ,"(42.3672307352, -71.09517698)"
270 BROADWAY,76-29,76,29,3629,0104,Mixed Use Residential,MXD TWO-FAM-RES,2,groundfloor, , , , ,"(42.367655872, -71.0972838091999)"
268 BROADWAY,76-30,76,30,4563,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3675402566, -71.0971290944)"
44 MARKET ST,76-4,76,4,6506,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3681968243, -71.0963623604999)"
180 COLUMBIA ST,76-40,76,40,2385,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3675295434999, -71.0973539862)"
254 BROADWAY,76-41,76,41,4644,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3672409150999, -71.0963306299999)"
250-252 BROADWAY,76-42,76,42,4074,105,Residential,THREE-FM-RES,3, , , , , ,"(42.367171925, -71.0961671383)"
248 BROADWAY,76-44,76,44,4078,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3671105438, -71.0960136103999)"
240 BROADWAY,76-49,76,49,4175,106,Transportation,RES-LAND-IMP,0, , , , , ,"(42.3668642263999, -71.0952836789)"
234 BROADWAY,76-52,76,52,4458,0101,Mixed Use Residential,MXD SNGL-FAM-RE,1,groundfloor, , , , ,"(42.3666045459999, -71.0947739106999)"
232 BROADWAY,76-53,76,53,1800,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3666161172999, -71.0946010430999)"
151 CLARK ST,76-54,76,54,2017,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3665672803, -71.0944772163999)"
143 CLARK ST,76-55,76,55,3927,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3664692878, -71.094626499)"
36-38 MARKET ST,76-6,76,6,7369,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3679959577, -71.0959985047)"
169 HARVARD ST,76-62,76,62,2048,0104,Mixed Use Residential,MXD TWO-FAM-RES,2,groundfloor, , , , ,"(42.3662950195, -71.0955687467999)"
226 WINDSOR ST,76-66,76,66,2608,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3667183299999, -71.0953648228999)"
34 MARKET ST,76-7,76,7,7119,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3678694703, -71.0957847006999)"
257 WINDSOR ST,76-70,76,70,2895,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3675622815, -71.0954717784999)"
30 MARKET ST,76-71,76,71,4529,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3677370254999, -71.095618277)"
259 WINDSOR ST,76-73,76,73,4038,112,Residential,>8-UNIT-APT,9, , , , , ,"(42.3677023177, -71.0954358259999)"
167 HARVARD ST,76-78,76,78,1627,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3662513546, -71.0954778666999)"
243 BROADWAY,76-85,76,85,10689,112,Residential,>8-UNIT-APT,61, , , , , ,"(42.3674353442999, -71.0956343178)"
197 HARVARD ST,76-87,76,87,2750,131,Vacant Residential,RES-PDV-LAND,0, , , , , ,"(42.3670894163999, -71.0976224487999)"
195 HARVARD ST,76-88,76,88,1594,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3670499540999, -71.0974870107999)"
DICKINSON ST,76-89,76,89,6298,920,Public Open Space,Parklands,0, , , , ,City NonTax,"(42.3667225805999, -71.0951252742)"
214 WINDSOR ST,76-91,76,91,1652,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3664506081999, -71.0952845861999)"
208 WINDSOR ST,76-92,76,92,1906,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3663526412, -71.0953496868)"
212 WINDSOR ST,76-93,76,93,1795,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3664167996, -71.0954852703)"
171 HARVARD ST,76-96,76,96,36691,934,Education,Public Schools,0, , , , ,City NonTax,"(42.3667385125, -71.0959020017999)"
114 HAMPSHIRE ST,77-1,77,1,2621,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3696599338, -71.0961704212)"
5-5 UNION ST,77-10,77,10,3333,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3687861274, -71.0961048416999)"
3 UNION ST,77-11,77,11,3350,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3686983249, -71.0961475716)"
1 UNION ST,77-12,77,12,1825,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3685382623, -71.0960919693)"
41 MARKET ST,77-13,77,13,1305,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3685726141, -71.0961747761)"
43 MARKET ST,77-14,77,14,2150,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3686238686999, -71.0962871182999)"
45 MARKET ST,77-15,77,15,5954,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3688486833, -71.096350489)"
234 COLUMBIA ST,77-17,77,17,1211,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3689678134999, -71.0965464478999)"
238-244 COLUMBIA ST,77-19,77,19,8784,112,Residential,>8-UNIT-APT,10, , , ,YES, ,"(42.3691705752, -71.0963117831999)"
254-256 COLUMBIA ST,77-20,77,20,4332,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3693198223, -71.0962288773999)"
260-262 COLUMBIA ST,77-21,77,21,4332,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.369422905, -71.0961696727)"
266 COLUMBIA ST,77-22,77,22,2100,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3695345133, -71.0961857204)"
100 HAMPSHIRE ST,77-24,77,24,3660,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3689694202999, -71.0954166678999)"
277 WINDSOR ST,77-28,77,28,3064,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3681426108, -71.0952432141999)"
29 MARKET ST,77-30,77,30,3831,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3681196474, -71.0954499338999)"
31 MARKET ST,77-31,77,31,6234,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3682559302, -71.0955663159)"
33 MARKET ST,77-32,77,32,4356,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3683288384999, -71.0957307611)"
35 MARKET ST,77-33,77,33,3580,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3683988368999, -71.0958899071)"
4 UNION ST,77-34,77,34,4425,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3685186681999, -71.0957208204)"
6 UNION ST,77-35,77,35,2875,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3686195395999, -71.0956879265999)"
8 UNION ST,77-36,77,36,2487,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3687442475999, -71.0957080100999)"
10 UNION ST,77-37,77,37,2531,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3688692090999, -71.0956397199)"
12 UNION ST,77-38,77,38,2030,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3689831630999, -71.0955762936)"
294-302 WINDSOR ST,77-39,77,39,6470,0111,Mixed Use Residential,MXD 4-8-UNIT-AP,6,groundfloor, , , , ,"(42.3684215127999, -71.0946538737999)"
83 BRISTOL ST,77-41,77,41,5942,340,Office,GEN-OFFICE,0, , , , , ,"(42.3679059146, -71.0941382494)"
85 BRISTOL ST,77-42,77,42,2960,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3677682671999, -71.0943318013)"
276 WINDSOR ST,77-45,77,45,5622,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3679922772999, -71.0947767907999)"
280 WINDSOR ST,77-46,77,46,5596,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3681298748999, -71.0947246226999)"
288 WINDSOR ST,77-47,77,47,5500,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3682650647999, -71.0946737052999)"
72-74 HAMPSHIRE ST,77-48,77,48,2855,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3677655061, -71.0938485439999)"
15 UNION ST,77-5,77,5,2715,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3692593629, -71.0958337672)"
70.5 HAMPSHIRE ST,77-50,77,50,5183,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3676099524, -71.0937287735)"
183 CLARK ST,77-52,77,52,4431,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3673585857999, -71.093693571)"
2 CROSSLAND ST,77-53,77,53,2140,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3674556520999, -71.0938237964)"
86 BRISTOL ST,77-54,77,54,3994,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3675550837999, -71.0940318786)"
82 BRISTOL ST,77-55,77,55,1464,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3676458325, -71.0939903050999)"
78 BRISTOL ST,77-56,77,56,1537,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3676895831999, -71.0939332643999)"
11 MARKET ST,77-57,77,57,5728,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3671390933999, -71.0939369797)"
13 MARKET ST,77-58,77,58,5282,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3672341990999, -71.0940723183999)"
90 BRISTOL ST,77-59,77,59,11142,920,Public Open Space,Parklands,0, , , , ,City NonTax,"(42.3673744853999, -71.0942704070999)"
13 UNION ST,77-6,77,6,2500,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3691979174, -71.0958763034)"
236 COLUMBIA ST,77-60,77,60,2794,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3690412241999, -71.0964680268999)"
92 HAMPSHIRE ST,77-63,77,63,7272,013,Mixed Use Residential,MULTIUSE-RES,3,mixed, , ,YES, ,"(42.3687721116999, -71.0951019607999)"
295 WINDSOR ST,77-64,77,64,6542,111,Residential,4-8-UNIT-APT,8, , , , , ,"(42.3685698060999, -71.0951493447)"
289-291 WINDSOR ST,77-65,77,65,7363,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3684476354, -71.0953054872999)"
96-98 HAMPSHIRE ST,77-66,77,66,10420,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3687066497999, -71.0954249519)"
266-270 WINDSOR ST,77-69,77,69,9610,112,Residential,>8-UNIT-APT,16, , , ,YES, ,"(42.3678046157, -71.0948735919999)"
11 UNION ST,77-7,77,7,5000,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3691038973, -71.0959294047)"
285 WINDSOR ST,77-70,77,70,2592,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3682951508, -71.0951944004)"
283 WINDSOR ST,77-73,77,73,2355,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3682811066, -71.0953316445999)"
84 HAMPSHIRE ST,77-76,77,76,8476,112,Residential,>8-UNIT-APT,19, , , , , ,"(42.3681240831, -71.0943230964)"
87-95 BRISTOL ST,77-77,77,77,11128,112,Residential,>8-UNIT-APT,9, , , ,YES, ,"(42.3678611277999, -71.0944944769999)"
267 WINDSOR ST,77-79,77,79,1820,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3679268689, -71.0952887087999)"
9 UNION ST,77-8,77,8,5000,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3689791728, -71.0959990955)"
271 WINDSOR ST,77-80,77,80,2595,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3680354183, -71.0952999513999)"
100A-102 HAMPSHIRE ST,77-81,77,81,1836,111,Residential,4-8-UNIT-APT,8, , , ,YES, ,"(42.369153146, -71.0954973128999)"
14 UNION ST,77-82,77,82,1310,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3690708438, -71.0955314211)"
110 HAMPSHIRE ST,77-84,77,84,3365,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3695408044999, -71.0960095224999)"
104 HAMPSHIRE ST,77-85,77,85,5012,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.369379328, -71.0958210457)"
64 HAMPSHIRE ST,77-88,77,88,1460,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3674408433, -71.0934620115999)"
66 HAMPSHIRE ST,77-89,77,89,1137,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3674345192999, -71.0935763688)"
7 UNION ST,77-9,77,9,3300,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3688725836, -71.0960555142)"
66 HAMPSHIRE ST,77-90,77,90,1599,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3675221903, -71.0935802181)"
19-25 MARKET ST,77-92,77,92,8158,112,Residential,>8-UNIT-APT,16, , , , , ,"(42.3675884939, -71.0946781419)"
47 MARKET ST,77-93,77,93,1940,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3688398648, -71.0964836701)"
49-51 MARKET ST,77-94,77,94,2717,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3688653438999, -71.0966057650999)"
68 PLYMOUTH ST,78-100,78,100,3600,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3689026356, -71.0934607099)"
60 BRISTOL ST,78-101,78,101,2401,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3681266174, -71.0932161224999)"
56 WEBSTER AVE,78-102,78,102,4595,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3680300835999, -71.0930395773)"
396 WINDSOR ST,78-103,78,103,6976,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3706335999999, -71.0938272058999)"
168-170 WEBSTER AVE,78-104,78,104,2782,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3705020266, -71.0937125119999)"
10-16 SECKEL ST,78-106,78,106,4443,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3694609008, -71.0936849507999)"
24 SECKEL ST,78-107,78,107,5343,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3694161142, -71.0938979681999)"
91-91B HAMPSHIRE ST,78-109,78,109,845,920,Public Open Space,Parklands,0, , , , ,City NonTax,"(42.3687471219, -71.0945496796999)"
73 BRISTOL ST,78-11,78,11,1709,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3681476667999, -71.0936946114999)"
44 WEBSTER AVE,78-112,78,112,1709,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3677753619, -71.0928534642)"
203 CLARK ST,78-113,78,113,2534,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3677477697, -71.0930178641)"
31-33 PORTSMOUTH ST,78-119,78,119,5745,112,Residential,>8-UNIT-APT,12, , , , , ,"(42.3684040369999, -71.0939114071999)"
79 HAMPSHIRE ST,78-12,78,12,3089,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3682289926999, -71.0937682322999)"
81 HAMPSHIRE ST,78-120,78,120,2250,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3682943688, -71.0938893116999)"
75 HAMPSHIRE ST,78-121,78,121,1265,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3680239767, -71.0935671533)"
71 HAMPSHIRE ST,78-122,78,122,1938,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.367968187, -71.0934972306999)"
93 PLYMOUTH ST,78-123,78,123,1359,920,Public Open Space,Parklands,0, , , , ,City NonTax,"(42.3689716351999, -71.0945816092999)"
26 LINCOLN ST,78-125,78,125,2630,920,Public Open Space,Parklands,0, , , , ,City NonTax,"(42.3707970763, -71.0938114516)"
178 WEBSTER AVE,78-130,78,130,2251,920,Public Open Space,Parklands,0, , , , ,City NonTax,"(42.3707474511, -71.0936177270999)"
184 WEBSTER AVE,78-132,78,132,48,920,Public Open Space,Parklands,0, , , , ,City NonTax,"(42.3707666755, -71.0935117631999)"
69 HAMPSHIRE ST,78-139,78,139,2567,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3679296301, -71.0933760278)"
67B HAMPSHIRE ST,78-140,78,140,1495,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3678834449999, -71.0933195022)"
67A HAMPSHIRE ST,78-141,78,141,1491,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3678507006999, -71.0932750614)"
67 HAMPSHIRE ST,78-142,78,142,2143,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3678499663, -71.0931422536)"
65 HAMPSHIRE ST,78-143,78,143,3272,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3676951731, -71.0931919891)"
112-114 WEBSTER AVE,78-145,78,145,2044,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3693325679999, -71.0934179173)"
118 WEBSTER AVE,78-146,78,146,2016,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.369405938, -71.0934379305)"
142-144 WEBSTER AVE,78-149,78,149,3038,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3699208126, -71.0935649105999)"
146 WEBSTER AVE,78-150,78,150,1863,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3699544712, -71.0937146349999)"
29 PORTSMOUTH ST,78-16,78,16,3316,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3684256422999, -71.0935865154999)"
19 PORTSMOUTH ST,78-17,78,17,2282,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3684620753, -71.0934187766)"
15 PORTSMOUTH ST,78-18,78,18,2122,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3684929209999, -71.0932769578)"
7 PORTSMOUTH ST,78-19,78,19,2542,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3685233304999, -71.0931132025)"
55 BRISTOL ST,78-20,78,20,1984,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3683950118999, -71.0930530092)"
59 BRISTOL ST,78-21,78,21,2470,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3683625743, -71.0932116759999)"
65 BRISTOL ST,78-22,78,22,3308,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3683073433999, -71.0934108560999)"
69 BRISTOL ST,78-23,78,23,1752,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3682579311999, -71.0935746533999)"
87 HAMPSHIRE ST,78-24,78,24,2979,0111,Mixed Use Residential,MXD 4-8-UNIT-AP,5,groundfloor, , , , ,"(42.3685931764999, -71.0942270893)"
133 WEBSTER AVE,78-246,78,246,1504,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3698679715, -71.0931672345)"
129-131 WEBSTER AVE,78-247,78,247,1596,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3697906004999, -71.0931170693999)"
70 YORK ST,78-248,78,248,871,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3698060603, -71.0929851597999)"
89 HAMPSHIRE ST,78-25,78,25,5498,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3687174893999, -71.0943670126)"
86 PLYMOUTH ST,78-27,78,27,2494,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3687892434, -71.0941776184999)"
84 PLYMOUTH ST,78-28,78,28,2520,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3688046361999, -71.0940178376)"
80 PLYMOUTH ST,78-29,78,29,2400,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3688313532, -71.0938634981)"
60 PLYMOUTH ST,78-31,78,31,3452,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3689376510999, -71.0932531554999)"
92 WEBSTER AVE,78-32,78,32,3006,111,Residential,4-8-UNIT-APT,5, , , , , ,"(42.3687807069999, -71.0931906538999)"
38 PORTSMOUTH ST,78-34,78,34,2400,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3686562421, -71.0939071908999)"
46 PORTSMOUTH ST,78-35,78,35,2400,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3686296377, -71.0940552336)"
322 WINDSOR ST,78-37,78,37,4845,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3692094590999, -71.0943884187)"
330 WINDSOR ST,78-38,78,38,4050,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3693151433, -71.0942561542999)"
336 WINDSOR ST,78-39,78,39,4171,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3694057399999, -71.0942269229999)"
66 BRISTOL ST,78-4,78,4,2484,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3680722936, -71.093371196)"
340 WINDSOR ST,78-40,78,40,3724,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3695032684, -71.0942148202999)"
122-124 WEBSTER AVE,78-43,78,43,4429,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3695269927, -71.0934679435)"
59-61 PLYMOUTH ST,78-45,78,45,3960,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3692122185999, -71.0933521412)"
67 PLYMOUTH ST,78-47,78,47,6593,111,Residential,4-8-UNIT-APT,5, , , , , ,"(42.3692091502, -71.0936041239999)"
75 PLYMOUTH ST,78-48,78,48,4000,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3691796462, -71.0937982461999)"
79 PLYMOUTH ST,78-49,78,49,4000,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3691536820999, -71.0939441963)"
83 PLYMOUTH ST,78-50,78,50,3800,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3691188256999, -71.0940894791999)"
87 PLYMOUTH ST,78-51,78,51,2800,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3690642664, -71.0942278468999)"
89 PLYMOUTH ST,78-52,78,52,4842,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3690304698, -71.0944219887999)"
348 WINDSOR ST,78-53,78,53,2613,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3696652292999, -71.0941637947999)"
350 WINDSOR ST,78-54,78,54,2967,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3697360338999, -71.0941425478)"
356 WINDSOR ST,78-55,78,55,2800,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.369809598, -71.0941139955999)"
358 WINDSOR ST,78-56,78,56,2800,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3698849255, -71.094087606)"
362 WINDSOR ST,78-57,78,57,3329,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3699613718, -71.0940374185999)"
366 WINDSOR ST,78-58,78,58,3159,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3700424840999, -71.0940159687999)"
370-372 WINDSOR ST,78-59,78,59,4703,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3701519436, -71.0939952267)"
64 WEBSTER AVE,78-6,78,6,3050,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3681763821999, -71.0930282446999)"
386 WINDSOR ST,78-64,78,64,3542,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.370448326, -71.093936865)"
